player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0039075,P.Nacua,WR,4,IND,15,13,0,0,170,1,0,0,36,23
00-0040122,A.Jeanty,RB,4,CHI,2,2,138,1,17,2,0,0,33.5,31.5
00-0037247,G.Pickens,WR,4,GB,11,8,0,0,134,2,0,0,33.4,25.4
00-0035700,J.Jacobs,RB,4,DAL,4,4,86,2,71,0,0,0,31.700000000000003,27.700000000000003
00-0036919,K.Gainwell,RB,4,MIN,6,6,99,2,35,0,0,0,31.4,25.4
00-0033077,D.Prescott,QB,4,GB,0,0,2,1,0,0,319,3,30.959999999999997,30.959999999999997
00-0037816,R.Doubs,WR,4,DAL,8,6,0,0,58,3,0,0,29.8,23.8
00-0034975,J.Hill,RB,4,KC,6,5,76,1,41,1,0,0,28.700000000000003,23.700000000000003
00-0038542,B.Robinson,RB,4,WAS,5,4,75,1,106,0,0,0,28.1,24.1
00-0040583,W.Marks,RB,4,TEN,5,4,69,1,50,1,0,0,27.9,23.9
00-0040666,O.Hampton,RB,4,NYG,5,5,128,1,37,0,0,0,27.5,22.5
00-0026498,M.Stafford,QB,4,IND,0,0,4,0,0,0,375,3,27.4,27.4
00-0033873,P.Mahomes,QB,4,BAL,0,0,5,0,0,0,270,4,27.3,27.3
00-0036945,J.Fields,QB,4,MIA,0,0,81,1,0,0,226,1,27.14,27.14
00-0036264,J.Love,QB,4,DAL,0,0,28,0,0,0,337,3,26.28,26.28
00-0033280,C.McCaffrey,RB,4,JAX,11,6,49,0,92,1,0,0,26.1,20.1
00-0036963,A.St. Brown,WR,4,CLE,7,7,0,0,70,2,0,0,26,19
00-0039732,B.Nix,QB,4,CIN,0,0,7,1,0,0,326,2,25.74,25.74
00-0039361,B.Irving,RB,4,PHI,5,5,63,0,102,1,0,0,25.5,20.5
00-0037238,D.London,WR,4,WAS,10,8,0,0,110,1,0,0,25,17
00-0034857,J.Allen,QB,4,NO,0,0,45,1,0,0,209,2,24.86,24.86
00-0038544,Q.Johnston,WR,4,NYG,13,8,0,0,98,1,0,0,23.8,15.8
00-0035640,D.Metcalf,WR,4,MIN,5,5,0,0,126,1,0,0,23.6,18.6
00-0039851,D.Maye,QB,4,CAR,0,0,11,1,0,0,203,2,23.220000000000002,23.220000000000002
00-0036322,J.Jefferson,WR,4,PIT,11,10,0,0,126,0,0,0,22.6,12.600000000000001
00-0037248,J.Cook,RB,4,NO,4,3,117,1,18,0,0,0,22.5,19.5
00-0040784,Q.Judkins,RB,4,DET,4,4,82,1,33,0,0,0,21.5,17.5
00-0032950,C.Wentz,QB,4,PIT,0,0,12,0,0,0,350,2,21.2,21.2
00-0038976,M.Mims,WR,4,CIN,6,6,16,1,69,0,0,0,20.5,14.5
00-0037740,G.Wilson,WR,4,MIA,8,6,0,0,82,1,0,0,20.200000000000003,14.200000000000001
00-0035719,D.Samuel,WR,4,ATL,6,6,9,0,72,1,0,0,20.1,14.1
00-0040129,E.Egbuka,WR,4,PHI,10,4,0,0,101,1,0,0,20.1,16.1
00-0040691,J.Dart,QB,4,LAC,0,0,54,1,0,0,111,1,19.840000000000003,19.840000000000003
00-0040730,R.Harvey,RB,4,CIN,5,4,58,0,40,1,0,0,19.8,15.8
00-0034351,D.Goedert,TE,4,TB,4,4,0,0,37,2,0,0,19.7,15.7
00-0036973,T.Etienne,RB,4,SF,2,1,124,1,1,0,0,0,19.5,18.5
00-0036389,J.Hurts,QB,4,TB,0,0,62,0,0,0,130,2,19.4,19.4
00-0034348,C.Sutton,WR,4,CIN,6,5,0,0,81,1,0,0,19.1,14.1
00-0036997,J.Williams,RB,4,GB,3,3,85,1,15,0,0,0,19,16
00-0034855,B.Mayfield,QB,4,PHI,0,0,13,0,0,0,289,2,18.860000000000003,18.860000000000003
00-0039917,M.Penix,QB,4,WAS,0,0,2,0,0,0,313,2,18.72,18.72
00-0039849,M.Harrison,WR,4,SEA,10,6,0,0,66,1,0,0,18.6,12.600000000000001
00-0039163,C.Stroud,QB,4,TEN,0,0,11,0,0,0,233,2,18.42,18.42
00-0040128,T.Warren,TE,4,LA,6,5,3,1,70,0,0,0,18.3,13.3
00-0036970,K.Pitts,TE,4,WAS,5,5,0,0,70,1,0,0,18,13
00-0037261,K.Shakir,WR,4,NO,5,5,0,0,69,1,0,0,17.9,12.9
00-0039139,J.Gibbs,RB,4,CLE,2,2,91,1,6,0,0,0,17.700000000000003,15.700000000000001
00-0031610,D.Waller,TE,4,NYJ,4,3,0,0,27,2,0,0,17.7,14.7
00-0037834,B.Purdy,QB,4,JAX,0,0,13,0,0,0,309,2,17.66,17.66
00-0034844,S.Barkley,RB,4,TB,4,4,43,1,31,0,0,0,17.4,13.4
00-0039040,D.Achane,RB,4,NYJ,2,1,99,1,2,0,0,0,17.1,16.1
00-0039894,X.Worthy,WR,4,BAL,8,5,38,0,83,0,0,0,17.1,12.100000000000001
00-0038041,J.Ferguson,TE,4,GB,7,7,0,0,40,1,0,0,17,10
00-0039919,R.Odunze,WR,4,LV,8,4,0,0,69,1,0,0,16.9,12.9
00-0038440,Z.Scott,RB,4,PIT,8,6,1,0,43,1,0,0,16.4,10.4
00-0032268,M.Mariota,QB,4,ATL,0,0,20,0,0,0,156,2,16.240000000000002,16.240000000000002
00-0031588,S.Diggs,WR,4,CAR,7,6,0,0,101,0,0,0,16.1,10.100000000000001
00-0035228,K.Murray,QB,4,SEA,0,0,41,0,0,0,200,2,16.1,16.1
00-0038120,B.Hall,RB,4,MIA,6,5,81,0,30,0,0,0,16.1,11.100000000000001
00-0034869,S.Darnold,QB,4,ARI,0,0,24,0,0,0,242,1,16.08,16.08
00-0036275,D.Swift,RB,4,LV,6,4,38,1,22,0,0,0,16,12
00-0036849,T.Atwell,WR,4,IND,2,1,0,0,88,1,0,0,15.8,14.8
00-0036212,T.Tagovailoa,QB,4,NYJ,0,0,6,0,0,0,177,2,15.68,15.68
00-0031381,D.Adams,WR,4,IND,6,4,0,0,56,1,0,0,15.600000000000001,11.600000000000001
00-0038994,J.Addison,WR,4,PIT,8,4,0,0,114,0,0,0,15.4,11.4
00-0037005,T.Tremble,TE,4,NE,8,5,0,0,42,1,0,0,15.2,10.2
00-0036252,M.Pittman,WR,4,LA,10,5,0,0,41,1,0,0,15.100000000000001,10.100000000000001
00-0037112,J.Tonges,TE,4,JAX,5,3,0,0,58,1,0,0,14.8,11.8
00-0036223,J.Taylor,RB,4,LA,5,5,76,0,20,0,0,0,14.600000000000001,9.600000000000001
00-0039064,Z.Flowers,WR,4,KC,8,7,0,0,74,0,0,0,14.4,7.4
00-0039376,S.Rattler,QB,4,BUF,1,0,49,0,0,0,126,1,13.94,13.94
00-0033857,J.Smith-Schuster,WR,4,BAL,6,4,0,0,36,1,0,0,13.6,9.6
00-0038543,J.Smith-Njigba,WR,4,ARI,5,4,11,0,79,0,0,0,13,9
00-0040715,C.Skattebo,RB,4,LAC,2,2,79,0,11,0,0,0,13,11
00-0023459,A.Rodgers,QB,4,MIN,0,0,8,0,0,0,200,1,12.8,12.8
00-0035662,M.Brown,WR,4,BAL,5,3,0,0,38,1,0,0,12.8,9.8
00-0037197,I.Pacheco,RB,4,BAL,3,2,35,0,13,1,0,0,12.8,10.8
00-0033106,J.Goff,QB,4,CLE,0,0,0,0,0,0,168,2,12.719999999999999,12.719999999999999
00-0033040,T.Hill,WR,4,NYJ,6,6,0,0,67,0,0,0,12.7,6.7
00-0040734,T.Henderson,RB,4,CAR,2,2,32,1,14,0,0,0,12.600000000000001,10.600000000000001
00-0036355,J.Herbert,QB,4,NYG,0,0,24,0,0,0,203,1,12.520000000000001,12.520000000000001
00-0038551,K.Miller,RB,4,BUF,0,0,65,1,0,0,0,0,12.5,12.5
00-0039165,Z.Charbonnet,RB,4,ARI,2,2,39,1,5,0,0,0,12.4,10.4
00-0037744,T.McBride,TE,4,SEA,11,7,0,0,52,0,0,0,12.2,5.2
00-0039793,A.Barner,TE,4,ARI,3,3,0,0,32,1,0,0,12.2,9.2
00-0038134,K.Walker,RB,4,ARI,2,1,81,0,29,0,0,0,12,11
00-0033090,H.Henry,TE,4,CAR,2,2,0,0,39,1,0,0,11.9,9.9
00-0036554,N.Collins,WR,4,TEN,6,4,0,0,79,0,0,0,11.9,7.9
00-0039918,C.Williams,QB,4,LV,0,0,13,0,0,0,212,1,11.780000000000001,11.780000000000001
00-0036971,T.Lawrence,QB,4,SF,0,0,7,0,0,0,174,1,11.66,11.66
00-0036158,J.Dobbins,RB,4,CIN,1,1,101,0,4,0,0,0,11.5,10.5
00-0040736,M.Taylor,TE,4,MIA,7,5,0,0,65,0,0,0,11.5,6.5
00-0037004,H.Long,TE,4,SF,3,3,0,0,23,1,0,0,11.3,8.3
00-0040187,M.Evans,TE,4,NE,4,3,0,0,23,1,0,0,11.3,8.3
00-0040667,M.Golden,WR,4,DAL,6,5,5,0,58,0,0,0,11.3,6.300000000000001
00-0033906,A.Kamara,RB,4,BUF,5,4,70,0,2,0,0,0,11.2,7.2
00-0037263,T.Allgeier,RB,4,WAS,0,0,51,1,0,0,0,0,11.100000000000001,11.100000000000001
00-0038797,E.Wilson,RB,4,DAL,3,3,44,0,37,0,0,0,11.1,8.1
00-0039847,T.Johnson,TE,4,LAC,5,3,0,0,17,1,0,0,10.7,7.7
00-0034796,L.Jackson,QB,4,KC,0,0,48,0,0,0,147,1,10.68,10.68
00-0035261,T.Pollard,RB,4,HOU,3,3,64,0,12,0,0,0,10.600000000000001,7.6000000000000005
00-0038996,T.Kraft,TE,4,DAL,5,5,0,0,56,0,0,0,10.600000000000001,5.6000000000000005
00-0039890,A.Mitchell,WR,4,LA,4,3,0,0,96,0,0,0,10.600000000000001,7.600000000000001
00-0039893,B.Thomas,WR,4,SF,7,5,7,0,49,0,0,0,10.600000000000001,5.6000000000000005
00-0038935,B.Strange,TE,4,SF,7,6,0,0,45,0,0,0,10.5,4.5
00-0037840,K.Williams,RB,4,IND,4,3,77,0,17,0,0,0,10.4,7.4
00-0039921,T.Benson,RB,4,SEA,5,5,35,0,19,0,0,0,10.4,5.4
00-0035710,D.Jones,QB,4,LA,0,0,-1,0,0,0,262,1,10.38,10.38
00-0039150,B.Young,QB,4,NE,0,0,3,0,0,0,150,1,10.3,10.3
00-0037525,J.Mason,RB,4,PIT,3,3,57,0,15,0,0,0,10.2,7.2
00-0040124,T.McMillan,WR,4,NE,8,4,0,0,62,0,0,0,10.2,6.2
00-0037666,J.Tolbert,WR,4,GB,6,4,0,0,61,0,0,0,10.100000000000001,6.1000000000000005
00-0038597,C.Brown,RB,4,DEN,3,3,40,0,31,0,0,0,10.100000000000001,7.1000000000000005
00-0038705,E.Demercado,RB,4,SEA,2,2,8,0,13,1,0,0,10.1,8.1
00-0039355,L.McCaffrey,WR,4,ATL,3,2,0,0,21,1,0,0,10.1,8.1
00-0034753,M.Andrews,TE,4,KC,8,7,0,0,30,0,0,0,10,3
00-0036555,C.Hubbard,RB,4,NE,3,3,49,0,20,0,0,0,9.9,6.9
00-0030506,T.Kelce,TE,4,BAL,5,5,0,0,48,0,0,0,9.8,4.800000000000001
00-0038933,D.Kincaid,TE,4,NO,2,1,0,0,28,1,0,0,9.8,8.8
00-0030565,G.Smith,QB,4,CHI,0,0,31,0,0,0,117,2,9.78,9.78
00-0039338,B.Bowers,TE,4,CHI,6,5,0,0,46,0,0,0,9.600000000000001,4.6000000000000005
00-0039868,T.Franklin,WR,4,CIN,8,4,0,0,55,0,0,0,9.5,5.5
00-0040130,J.Higgins,WR,4,TEN,1,1,0,0,24,1,0,0,9.4,8.4
00-0032464,K.Raymond,WR,4,CLE,3,2,0,0,13,0,0,0,9.3,7.3
00-0037291,J.Nailor,WR,4,PIT,4,1,0,0,2,1,0,0,9.2,8.2
00-0037545,R.Shaheed,WR,4,BUF,5,4,5,0,47,0,0,0,9.2,5.2
00-0035208,O.Zaccheaus,WR,4,LV,6,5,0,0,41,0,0,0,9.100000000000001,4.1000000000000005
00-0037239,C.Olave,WR,4,BUF,6,3,0,0,20,1,0,0,9,6
00-0040782,I.Bond,WR,4,DET,6,3,0,0,58,0,0,0,8.8,5.800000000000001
00-0030279,K.Allen,WR,4,NYG,7,5,0,0,37,0,0,0,8.7,3.7
00-0036328,A.Gibson,RB,4,CAR,0,0,27,1,0,0,0,0,8.7,8.7
00-0037256,R.White,RB,4,PHI,5,4,17,0,29,0,0,0,8.600000000000001,4.6000000000000005
00-0039916,R.Pearsall,WR,4,JAX,5,4,0,0,46,0,0,0,8.600000000000001,4.6000000000000005
00-0031687,R.Mostert,RB,4,CHI,1,1,62,0,11,0,0,0,8.3,7.300000000000001
00-0034791,N.Chubb,RB,4,TEN,2,2,47,0,15,0,0,0,8.2,6.2
00-0038104,T.Thornton,WR,4,BAL,2,1,0,0,11,1,0,0,8.1,7.1
00-0034383,D.Schultz,TE,4,TEN,6,5,0,0,30,0,0,0,8,3
00-0035229,T.Hockenson,TE,4,PIT,5,4,0,0,39,0,0,0,7.9,3.9000000000000004
00-0035500,G.Dortch,WR,4,SEA,5,4,4,0,35,0,0,0,7.9,3.9000000000000004
00-0032764,D.Henry,RB,4,KC,3,2,42,0,16,0,0,0,7.800000000000001,5.800000000000001
00-0034827,D.Moore,WR,4,LV,5,4,0,0,38,0,0,0,7.800000000000001,3.8000000000000003
00-0036407,J.Jeudy,WR,4,DET,9,3,0,0,48,0,0,0,7.800000000000001,4.800000000000001
