player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0039338,B.Bowers,TE,9,JAX,13,12,6,0,127,3,0,0,43.3,31.3
00-0037238,D.London,WR,9,NE,14,9,0,0,118,3,0,0,38.8,29.8
00-0039918,C.Williams,QB,9,CIN,2,2,53,0,22,1,280,3,38.7,36.7
00-0033280,C.McCaffrey,RB,9,NYG,6,5,106,1,67,1,0,0,34.3,29.3
00-0036410,T.Higgins,WR,9,CHI,9,7,0,0,121,2,0,0,33.1,26.1
00-0026158,J.Flacco,QB,9,CHI,0,0,-1,0,0,0,470,4,30.699999999999996,30.699999999999996
00-0040126,C.Loveland,TE,9,CIN,7,6,0,0,118,2,0,0,29.8,23.8
00-0034857,J.Allen,QB,9,KC,0,0,19,2,0,0,273,1,28.82,28.82
00-0036139,R.Dowdle,RB,9,GB,3,2,130,2,11,0,0,0,28.1,26.1
00-0036355,J.Herbert,QB,9,TEN,0,0,57,1,0,0,250,2,27.7,27.7
00-0040691,J.Dart,QB,9,SF,0,0,56,1,0,0,191,2,27.240000000000002,27.240000000000002
00-0034869,S.Darnold,QB,9,WAS,0,0,0,0,0,0,330,4,27.200000000000003,27.200000000000003
00-0026498,M.Stafford,QB,9,NO,0,0,-4,0,0,0,281,4,26.840000000000003,26.840000000000003
00-0030565,G.Smith,QB,9,JAX,0,0,9,0,0,0,284,4,26.259999999999998,26.259999999999998
00-0034796,L.Jackson,QB,9,MIA,0,0,14,0,0,0,204,4,25.56,25.56
00-0033119,J.Brissett,QB,9,DAL,0,0,4,1,0,0,261,2,24.839999999999996,24.839999999999996
00-0031381,D.Adams,WR,9,NO,7,5,0,0,60,2,0,0,23,18
00-0034827,D.Moore,WR,9,CIN,6,4,17,1,72,0,2,1,22.98,18.98
00-0039075,P.Nacua,WR,9,NO,8,7,3,0,95,1,0,0,22.8,15.8
00-0040236,K.Monangai,RB,9,CIN,5,3,176,0,22,0,0,0,22.8,19.8
00-0039917,M.Penix,QB,9,NE,0,0,19,0,0,0,221,3,22.74,22.74
00-0039849,M.Harrison,WR,9,DAL,10,7,0,0,96,1,0,0,22.6,15.600000000000001
00-0038933,D.Kincaid,TE,9,KC,6,6,0,0,101,1,0,0,22.1,16.1
00-0038543,J.Smith-Njigba,WR,9,WAS,9,8,11,0,129,0,0,0,22,14
00-0039065,S.LaPorta,TE,9,MIN,8,6,0,0,97,1,0,0,21.700000000000003,15.700000000000001
00-0036971,T.Lawrence,QB,9,LV,0,0,24,2,0,0,220,0,21.200000000000003,21.200000000000003
00-0040648,T.Horton,WR,9,WAS,4,4,0,0,48,2,0,0,20.8,16.8
00-0036252,M.Pittman,WR,9,PIT,12,9,0,0,115,0,0,0,20.5,11.5
00-0035700,J.Jacobs,RB,9,CAR,5,4,87,1,13,0,0,0,20,16
00-0038621,D.Douglas,WR,9,ATL,6,4,0,0,100,1,0,0,20,16
00-0040122,A.Jeanty,RB,9,JAX,5,5,42,0,47,1,0,0,19.9,14.9
00-0033106,J.Goff,QB,9,MIN,0,0,0,0,0,0,284,2,19.36,19.36
00-0038597,C.Brown,RB,9,CHI,14,8,37,0,75,0,0,0,19.200000000000003,11.200000000000001
00-0039923,J.McCarthy,QB,9,DET,0,0,12,1,0,0,143,2,18.919999999999998,18.919999999999998
00-0036963,A.St. Brown,WR,9,MIN,13,9,0,0,97,0,0,0,18.700000000000003,9.700000000000001
00-0039067,R.Rice,WR,9,BUF,7,4,6,1,80,0,0,0,18.6,14.6
00-0039732,B.Nix,QB,9,HOU,0,0,36,0,0,0,173,2,18.52,18.52
00-0038619,A.Iosivas,WR,9,CHI,7,5,4,0,66,1,0,0,18,13
00-0035208,O.Zaccheaus,WR,9,CIN,8,6,0,0,58,1,0,0,17.8,11.8
00-0038997,J.Downs,WR,9,PIT,9,6,0,0,57,1,0,0,17.7,11.7
00-0038542,B.Robinson,RB,9,NE,10,8,46,0,50,0,0,0,17.6,9.600000000000001
00-0037664,A.Pierce,WR,9,PIT,13,6,0,0,115,0,0,0,17.5,11.5
00-0037840,K.Williams,RB,9,NO,0,0,114,1,0,0,0,0,17.4,17.4
00-0036900,J.Chase,WR,9,CHI,8,6,0,0,111,0,0,0,17.1,11.100000000000001
00-0038606,P.Washington,WR,9,LV,9,8,0,0,90,0,0,0,17,9
00-0037228,J.Warren,RB,9,IND,2,2,31,2,-2,0,0,0,16.9,14.9
00-0036322,J.Jefferson,WR,9,DET,9,6,0,0,47,1,0,0,16.7,10.7
00-0034753,M.Andrews,TE,9,MIA,3,2,4,0,22,2,0,0,16.6,14.6
00-0037240,J.Williams,WR,9,MIN,6,4,0,0,66,1,0,0,16.6,12.600000000000001
00-0039040,D.Achane,RB,9,BAL,10,6,67,0,39,0,0,0,16.6,10.600000000000001
00-0040730,R.Harvey,RB,9,HOU,5,5,5,0,51,1,0,0,16.6,11.600000000000001
00-0036973,T.Etienne,RB,9,LV,5,5,84,0,31,0,0,0,16.5,11.5
00-0037744,T.McBride,TE,9,DAL,9,5,0,0,55,1,0,0,16.5,11.5
00-0039851,D.Maye,QB,9,ATL,0,0,20,0,0,0,259,2,16.36,16.36
00-0037816,R.Doubs,WR,9,CAR,10,7,0,0,91,0,0,0,16.1,9.1
00-0036972,M.Jones,QB,9,NYG,0,0,4,0,0,0,235,2,15.799999999999997,15.799999999999997
00-0036358,C.Lamb,WR,9,ARI,12,7,0,0,85,0,0,0,15.5,8.5
00-0033077,D.Prescott,QB,9,ARI,0,0,34,0,0,0,250,1,15.4,15.4
00-0038544,Q.Johnston,WR,9,TEN,5,4,0,0,53,1,0,0,15.3,11.3
00-0039910,J.Daniels,QB,9,SEA,0,0,51,1,0,0,153,0,15.22,15.22
00-0036554,N.Collins,WR,9,DEN,11,7,0,0,75,0,0,0,14.5,7.5
00-0036613,J.Waddle,WR,9,BAL,9,6,0,0,82,0,0,0,14.200000000000001,8.200000000000001
00-0036259,J.Jennings,WR,9,NYG,5,4,0,0,41,1,0,0,14.100000000000001,10.100000000000001
00-0035710,D.Jones,QB,9,PIT,0,0,4,1,0,0,342,1,14.079999999999998,14.079999999999998
00-0037247,G.Pickens,WR,9,ARI,9,6,0,0,79,0,0,0,13.9,7.9
00-0034383,D.Schultz,TE,9,DEN,8,6,0,0,77,0,0,0,13.7,7.7
00-0038117,W.Robinson,WR,9,SF,11,9,0,0,46,0,0,0,13.600000000000001,4.6000000000000005
00-0037248,J.Cook,RB,9,KC,1,1,114,0,11,0,0,0,13.5,12.5
00-0032764,D.Henry,RB,9,MIA,1,1,119,0,2,0,0,0,13.100000000000001,12.100000000000001
00-0035891,C.White,WR,9,WAS,2,1,0,0,60,1,0,0,13,12
00-0031588,S.Diggs,WR,9,ATL,4,3,0,0,38,1,0,0,12.8,9.8
00-0040734,T.Henderson,RB,9,ATL,6,4,55,0,32,0,0,0,12.700000000000001,8.700000000000001
00-0030506,T.Kelce,TE,9,BUF,5,4,0,0,66,0,0,0,12.600000000000001,8.600000000000001
00-0033923,K.Hunt,RB,9,BUF,2,1,49,1,6,0,0,0,12.5,11.5
00-0038611,C.Rodriguez,RB,9,SEA,0,0,65,1,0,0,0,0,12.5,12.5
00-0023459,A.Rodgers,QB,9,IND,0,0,0,0,0,0,203,1,12.120000000000001,12.120000000000001
00-0036040,J.Johnson,TE,9,LA,4,3,0,0,31,1,0,0,12.1,9.1
00-0033293,A.Jones,RB,9,DET,2,2,78,0,20,0,0,0,11.8,9.8
